Bag_Name,Personality_Type,Personality_Description,Product_Link,Question,Option_1,Option_1_Personality,Option_2,Option_2_Personality,Option_3,Option_3_Personality,Option_4,Option_4_Personality
Fabric with Leather Trim Zip Travel Pouch - 13008,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/sea-treasures/products/fabric-hand-painted-fabric-zip-travel-pouch-13008-sea,"If your personality was a painting, it would be:",Bold and expressive abstract,Wolf Moon,Geometric and structured mosaic,Wolf Moon,Free,Ocean Mist,Delicate and detailed paisley,Vintage Charm
Three Fold RFID Clutch - 1774,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/summer-evening/products/leather-three-fold-rfid-clutch-1774-sev,Pick a season you love most:,Spring 🌸,Camellia Grace,Summer 🌞,Color Mirage,Autumn 🍂,Color Mirage,Winter ❄️,Petal Muse
Organizer Crossbody - 7590,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/summer-evening/products/leather-organizer-crossbody-7590-sev,Your dream vacation spot is:,A tropical island 🏝️,Earth Song,Caribbean beaches 🏖️,Wolf Moon,A quiet ocean cliff 🌊,Flutter Charm,A deep forest retreat 🌿,Sacred Elephant
Large Tote - 7583,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/summer-evening/products/leather-large-tote-7583-sev,Pick a season you love most:,Spring 🌸,Gentle Guardian,Summer 🌞,Playful Paws,Autumn 🍂,Gentle Guardian,Winter ❄️,Boho Spirit
Two Fold Wallet - 1752,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/summer-evening/products/leather-two-fold-wallet-1752-sev,What’s your go-to mood on weekends?,Relaxing with nature,Ocean Mist,Partying in the city,Vintage Charm,Exploring something new,Wolf Moon,Staying cozy at home,Camellia Grace
Eye Glass Pouch - 2040,Dreamscape Urbanite,"Ambitious and visionary, thriving in the city’s rhythm.",https://anuschkaleather.in/collections/sunflowers/products/leather-eye-glass-pouch-2040-sfl,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Roaring Majesty,Bold and fiery rose prints,Enchanted Rose,Soft watercolor blossoms,Angel Aura,Dark romantic florals,Petal Muse
Two-Fold Organizer Wallet - 2086,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/sunflowers/products/leather-two-fold-organizer-wallet-2086-sfl,What type of adventure excites you most?,A jungle safari 🐆,Earth Song,Climbing a mountain 🏔️,Boho Spirit,Exploring an enchanted forest 🌲,Enchanted Rose,Leading an expedition 🦁,Enchanted Rose
Medium Tote - 7603,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/sunflowers/products/leather-medium-tote-7603-sfl,What quality do you value most?,Protection and care,Wilderness Whisper,Wisdom and calmness,City Lights,Playfulness and joy,Caribbean Dreamer,Strength with compassion,Vintage Charm
Small Shopper - 677,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/art-swan-song/products/leather-medium-shopper-677-sws,Your dream vacation spot is:,A tropical island 🏝️,Color Mirage,Caribbean beaches 🏖️,Leopard Luxe,A quiet ocean cliff 🌊,Earth Song,A deep forest retreat 🌿,Metamorph Muse
Expandable Shopper Tote - 712,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-expandable-shopper-tote-712-tae-cop,What color palette do you prefer for accessories?,Aqua blues and sea greens,Enchanted Rose,Bright island colors,Flutter Charm,Soft sandy tones,Sacred Elephant,Earthy browns and greens,Paisley Muse
Expandable Travel Crossbody - 550,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-expandable-travel-crossbody-550-tae-cop,Your dream vacation spot is:,A tropical island 🏝️,Metamorph Muse,Caribbean beaches 🏖️,Leopard Luxe,A quiet ocean cliff 🌊,Color Mirage,A deep forest retreat 🌿,Enchanted Rose
Multi Purpose Zip Pouch - 1182,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-multi-purpose-zip-pouch-1182-tae-cop,"If you had wings, how would you use them?",To glide peacefully above nature,Tropical Breeze,To explore galaxies beyond Earth,Caribbean Dreamer,To dance among flowers in freedom,Tropical Breeze,To transform and start anew,Color Mirage
Two Fold French Wallet - 1181,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-two-fold-french-wallet-1181-tae-cop,Your dream vacation spot is:,A tropical island 🏝️,Leopard Luxe,Caribbean beaches 🏖️,Caribbean Dreamer,A quiet ocean cliff 🌊,Gentle Guardian,A deep forest retreat 🌿,Leopard Luxe
Zip-Top Shoulder Hobo - 707,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/tooled-ancient-egypt-copper/products/leather-zip-top-shoulder-hobo-707-tae-cop,Which element resonates with your soul?,Air,Savannah Spirit,Light,Celestial Wings,Movement,Paisley Muse,Growth,Metamorph Muse
Accordion Style Credit And Business Card Holder - 2083,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/tooled-birds-peach/products/leather-accordion-style-credit-and-business-card-holder-2083-tbr-pch,Which wild animal do you relate to most?,Leopard,Earth Song,Lion,Color Mirage,Deer,Earth Song,Wolf,Color Mirage
Satchel Bag - 7614,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/tooled-birds-peach/products/leather-satchel-bag-7614-tbr-pch,"If your personality was a painting, it would be:",Bold and expressive abstract,Color Mirage,Geometric and structured mosaic,Roaring Majesty,Free,Gentle Guardian,Delicate and detailed paisley,Ocean Mist
Accordion Flap Wallet - 1112,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-accordion-flap-wallet-1112-tbr-sky,Which wild animal do you relate to most?,Leopard,Wilderness Whisper,Lion,Leopard Luxe,Deer,Metamorph Muse,Wolf,Camellia Grace
Crossbody Phone Case - 1173,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-crossbody-phone-case-1173-tbr-sky,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Enchanted Rose,Bold and fiery rose prints,Retro Muse,Soft watercolor blossoms,Gentle Guardian,Dark romantic florals,Camellia Grace
Crossbody With Front Zip Organizer - 651,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-crossbody-with-front-zip-organizer-651-tbr-sky,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Camellia Grace,An elephant with a lotus 🐘,Camellia Grace,A guardian dog 🐕,Color Mirage,A mystical owl 🦉,Sacred Elephant
Medium Zip Pouch - 1107,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-medium-zip-pouch-1107-tbr-sky,What’s your go-to mood on weekends?,Relaxing with nature,Boho Spirit,Partying in the city,Enchanted Rose,Exploring something new,Boho Spirit,Staying cozy at home,Crimson Blossom
Zip-Top Shoulder Hobo - 709,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-zip-top-shoulder-hobo-709-tbr-sky,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Roaring Majesty,Bold and fiery rose prints,Leopard Luxe,Soft watercolor blossoms,Boho Spirit,Dark romantic florals,Petal Muse
Multi Compartment Satchel - 690,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-multi-compartment-satchel-690-tbr-sky,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Leopard Luxe,Bold and fiery rose prints,Dreamscape Urbanite,Soft watercolor blossoms,Savannah Spirit,Dark romantic florals,Leopard Luxe
Medium Crossbody With Double Zip Pockets - 447,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/tooled-birds-sky/products/leather-medium-crossbody-with-double-zip-pockets-447-tbr-sky,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Angel Aura,Bold and fiery rose prints,Earth Song,Soft watercolor blossoms,Paisley Muse,Dark romantic florals,Mystic Mosaic
Accordion Flap Wallet - 1112,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/tooled-birds-tan/products/leather-accordion-flap-wallet-1112-tbr-tan,"If your personality was a painting, it would be:",Bold and expressive abstract,Vintage Charm,Geometric and structured mosaic,Boho Spirit,Free,Crimson Blossom,Delicate and detailed paisley,Wilderness Whisper
Medium Zip Pouch - 1107,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/tooled-birds-tan/products/leather-medium-zip-pouch-1107-tbr-tan,Your dream vacation spot is:,A tropical island 🏝️,Ocean Mist,Caribbean beaches 🏖️,Sacred Elephant,A quiet ocean cliff 🌊,Earth Song,A deep forest retreat 🌿,Playful Paws
Zip-Top Shoulder Hobo - 709,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/tooled-birds-tan/products/leather-zip-top-shoulder-hobo-709-tbr-tan,"If your personality was a painting, it would be:",Bold and expressive abstract,Ocean Mist,Geometric and structured mosaic,Flutter Charm,Free,Leopard Luxe,Delicate and detailed paisley,Earth Song
Multi Compartment Satchel - 690,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/tooled-birds-tan/products/multi-compartment-satchel-690-tbr-tan,What’s your go-to mood on weekends?,Relaxing with nature,Earth Song,Partying in the city,Wolf Moon,Exploring something new,City Lights,Staying cozy at home,City Lights
Medium Crossbody With Double Zip Pockets - 447,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/tooled-birds-tan/products/leather-medium-crossbody-with-double-zip-pockets-447-tbr-tan,Your dream vacation spot is:,A tropical island 🏝️,Retro Muse,Caribbean beaches 🏖️,Celestial Wings,A quiet ocean cliff 🌊,Playful Paws,A deep forest retreat 🌿,Boho Spirit
Accordion Flap Wallet - 1174,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/tooled-butterfly-jade/products/leather-accordion-flap-wallet-1174-tbf-jad,Your dream vacation spot is:,A tropical island 🏝️,Petal Muse,Caribbean beaches 🏖️,Sacred Elephant,A quiet ocean cliff 🌊,Ocean Mist,A deep forest retreat 🌿,Celestial Wings
Flap Crossbody - 694,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/tooled-butterfly-jade/products/leather-flap-crossbody-694-tbf-jad,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Vintage Charm,An elephant with a lotus 🐘,Flutter Charm,A guardian dog 🐕,Playful Paws,A mystical owl 🦉,Playful Paws
Medium Tote - 693,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/tooled-butterfly-jade/products/leather-medium-tote-693-tbf-jad,Your dream vacation spot is:,A tropical island 🏝️,Gentle Guardian,Caribbean beaches 🏖️,Wolf Moon,A quiet ocean cliff 🌊,Color Mirage,A deep forest retreat 🌿,Dreamscape Urbanite
Classic Hobo With Studded Side Pockets - 433,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-hand-painted-classic-mini-stidded-side-pockets-433-tbf-mlt,What’s your go-to mood on weekends?,Relaxing with nature,Flutter Charm,Partying in the city,Mystic Mosaic,Exploring something new,Retro Muse,Staying cozy at home,Wilderness Whisper
Painted Leather Cuff - 1176,Savannah Spirit,"Bold and untamed, echoing the wild savannas.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-adjustable-leather-wrist-band-1176-tbf-mlt,What quality do you value most?,Protection and care,Metamorph Muse,Wisdom and calmness,Ethereal Bloom,Playfulness and joy,Paisley Muse,Strength with compassion,Petal Muse
Accordion Flap Wallet - 1174,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-accordion-flap-wallet-1174-tbf-mlt,Your dream vacation spot is:,A tropical island 🏝️,Enchanted Rose,Caribbean beaches 🏖️,Crimson Blossom,A quiet ocean cliff 🌊,Roaring Majesty,A deep forest retreat 🌿,Tropical Breeze
Flap Crossbody - 694,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-flap-crossbody-694-tbf-mlt,Which bag style attracts you most?,Sleek and modern,Playful Paws,Antique leather satchel,Gentle Guardian,Funky retro prints,Metamorph Muse,Edgy futuristic designs,Leopard Luxe
Medium Tote - 693,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/tooled-butterfly-multi/products/leather-medium-tote-693-tbf-mlt,Which scenery feels most calming to you?,A blooming spring garden 🌷,Boho Spirit,A field of wild roses under sunset 🌹,Camellia Grace,A misty meadow with dew,Gentle Guardian,A vintage botanical greenhouse 🌼,Caribbean Dreamer
Classic Hobo With Studded Side Pockets - 433,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-hand-painted-classic-mini-stidded-side-pockets-433-tbf-ocn,What quality do you value most?,Protection and care,Sacred Elephant,Wisdom and calmness,Playful Paws,Playfulness and joy,Boho Spirit,Strength with compassion,Tropical Breeze
Round Coin Purse - 1175,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-round-coin-purse-1175-tbf-ocn,"If you had wings, how would you use them?",To glide peacefully above nature,Retro Muse,To explore galaxies beyond Earth,Paisley Muse,To dance among flowers in freedom,Sacred Elephant,To transform and start anew,Wolf Moon
Accordion Flap Wallet - 1174,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-accordion-flap-wallet-1174-tbf-ocn,Which art style inspires you most?,Colorful splashes,Caribbean Dreamer,Intricate mosaics,Playful Paws,Bohemian patterns,Ethereal Bloom,Elegant paisleys,Angel Aura
Flap Crossbody - 694,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-flap-crossbody-694-tbf-ocn,What’s your go-to mood on weekends?,Relaxing with nature,Tropical Breeze,Partying in the city,Retro Muse,Exploring something new,Vintage Charm,Staying cozy at home,Mystic Mosaic
Medium Tote - 693,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/tooled-butterfly-ocean/products/leather-medium-tote-693-tbf-ocn,"If your personality was a painting, it would be:",Bold and expressive abstract,Playful Paws,Geometric and structured mosaic,Wilderness Whisper,Free,Playful Paws,Delicate and detailed paisley,Flutter Charm
Painted Leather Cuff - 1176,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/tooled-butterfly-wine/products/leather-adjustable-leather-wrist-band-1176-tbf-win,Which wild animal do you relate to most?,Leopard,Vintage Charm,Lion,Angel Aura,Deer,Gentle Guardian,Wolf,Crimson Blossom
Round Coin Purse - 1175,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/tooled-butterfly-wine/products/leather-round-coin-purse-1175-tbf-win,What’s your go-to mood on weekends?,Relaxing with nature,Savannah Spirit,Partying in the city,Paisley Muse,Exploring something new,Tropical Breeze,Staying cozy at home,Roaring Majesty
Flap Crossbody - 694,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/tooled-butterfly-wine/products/leather-flap-crossbody-694-tbf-win,Which scenery feels most calming to you?,A blooming spring garden 🌷,Caribbean Dreamer,A field of wild roses under sunset 🌹,Enchanted Rose,A misty meadow with dew,Dreamscape Urbanite,A vintage botanical greenhouse 🌼,City Lights
Accordion Flap Wallet - 1174,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/tooled-butterfly-wine/products/leather-accordion-flap-wallet-1174-tbf-win,"If you had wings, how would you use them?",To glide peacefully above nature,Winged Serenity,To explore galaxies beyond Earth,Color Mirage,To dance among flowers in freedom,Celestial Wings,To transform and start anew,Ocean Mist
Medium Tote - 693,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/tooled-butterfly-wine/products/leather-medium-tote-693-tbf-win,Which art style inspires you most?,Colorful splashes,Ocean Mist,Intricate mosaics,Petal Muse,Bohemian patterns,Savannah Spirit,Elegant paisleys,Gentle Guardian
Small Shoulder Bag - 7504,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-blue/products/leather-small-shoulder-bag-7504-tdm-blu,Which element resonates with your soul?,Air,Ocean Mist,Light,Ethereal Bloom,Movement,Enchanted Rose,Growth,Paisley Muse
Zip Pouch Purse - 2085,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-brown-w-turquoise/products/leather-zip-pouch-purse-2085-tdm-bnt,What quality do you value most?,Protection and care,Wilderness Whisper,Wisdom and calmness,Leopard Luxe,Playfulness and joy,Mystic Mosaic,Strength with compassion,Camellia Grace
Clutch Wallet - 1785,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-brown-w-turquoise/products/leather-clutch-wallet-1785-tdm-bnt,Which wild animal do you relate to most?,Leopard,Gentle Guardian,Lion,Boho Spirit,Deer,Sacred Elephant,Wolf,Petal Muse
Ruched Hobo - 7615,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-brown-w-turquoise/products/leather-ruched-hobo-7615-tdm-bnt,Pick a season you love most:,Spring 🌸,Wilderness Whisper,Summer 🌞,Tropical Breeze,Autumn 🍂,Sacred Elephant,Winter ❄️,Savannah Spirit
3-1 Convertible Crossbody - 7436,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/tooled-dragonfly-meadow-brown-w-turquoise/products/leather-3-1-convertible-crossbody-7436-tdm-bnt,Which wild animal do you relate to most?,Leopard,Savannah Spirit,Lion,Vintage Charm,Deer,Sacred Elephant,Wolf,Vintage Charm
Round Coin Purse - 1175,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-pewter/products/leather-round-coin-purse-1175-tdm-pwt,"If your personality was a painting, it would be:",Bold and expressive abstract,Savannah Spirit,Geometric and structured mosaic,Camellia Grace,Free,Tropical Breeze,Delicate and detailed paisley,Petal Muse
Large Zip Top Tote - 698,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-pewter/products/leather-large-zip-top-tote-698-tdm-pwt,"If your personality was a painting, it would be:",Bold and expressive abstract,City Lights,Geometric and structured mosaic,City Lights,Free,Winged Serenity,Delicate and detailed paisley,Mystic Mosaic
Crossbody Phone Case - 1173,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/tooled-dragonfly-meadow-pewter/products/leather-crossbody-phone-case-1173-tdm-pwt,Pick a season you love most:,Spring 🌸,Ocean Mist,Summer 🌞,Sacred Elephant,Autumn 🍂,Earth Song,Winter ❄️,Vintage Charm
Three Fold Wallet - 1150,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-pewter/products/leather-three-fold-wallet-1150-tdm-pwt,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Leopard Luxe,Bold and fiery rose prints,Boho Spirit,Soft watercolor blossoms,Caribbean Dreamer,Dark romantic florals,Gentle Guardian
Zip-Top Shoulder Hobo - 707,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-pewter/products/leather-zip-top-shoulder-hobo-707-tdm-pwt,What type of adventure excites you most?,A jungle safari 🐆,Leopard Luxe,Climbing a mountain 🏔️,Boho Spirit,Exploring an enchanted forest 🌲,Vintage Charm,Leading an expedition 🦁,Ethereal Bloom
Wide Organizer Satchel - 695,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-pewter/products/leather-wide-organizer-satchel-695-tdm-pwt,Your favorite city vibe is:,Futuristic and visionary,Angel Aura,Classic old,Retro Muse,Trendy and nostalgic,Playful Paws,Modern city nightlife,Petal Muse
Zip Around Travel Organizer - 668,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/tooled-dragonfly-meadow-pewter/products/leather-zip-around-travel-organizer-668-tdm-pwt,What type of adventure excites you most?,A jungle safari 🐆,Boho Spirit,Climbing a mountain 🏔️,Ocean Mist,Exploring an enchanted forest 🌲,Enchanted Rose,Leading an expedition 🦁,Mystic Mosaic
Zip-Top Shoulder Hobo - 707,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/tooled-rose-almond/products/leather-zip-top-shoulder-hobo-707-tlr-ald,Which scenery feels most calming to you?,A blooming spring garden 🌷,Enchanted Rose,A field of wild roses under sunset 🌹,Celestial Wings,A misty meadow with dew,Enchanted Rose,A vintage botanical greenhouse 🌼,Angel Aura
Double Eyeglass Case - 1009,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/tooled-rose-almond/products/leather-double-eyeglass-case-1009-tlr-ald,What type of adventure excites you most?,A jungle safari 🐆,Gentle Guardian,Climbing a mountain 🏔️,Camellia Grace,Exploring an enchanted forest 🌲,Tropical Breeze,Leading an expedition 🦁,Caribbean Dreamer
Two Fold Organizer Wallet - 1178,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/tooled-rose-almond/products/leather-two-fold-organizer-wallet-1178-tlr-ald,What quality do you value most?,Protection and care,Roaring Majesty,Wisdom and calmness,Boho Spirit,Playfulness and joy,Crimson Blossom,Strength with compassion,Caribbean Dreamer
Crossbody Phone Case - 1173,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/tooled-rose-almond/products/leather-crossbody-phone-case-1173-tlr-ald,Which element resonates with your soul?,Air,Ocean Mist,Light,Gentle Guardian,Movement,Earth Song,Growth,Retro Muse
4 in 1 Organizer Crossbody - 711,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/tooled-rose-almond/products/leather-4-in-1-organizer-crossbody-711-tlr-ald,Pick a season you love most:,Spring 🌸,Petal Muse,Summer 🌞,Leopard Luxe,Autumn 🍂,Mystic Mosaic,Winter ❄️,Leopard Luxe
Large Zip Top Tote - 698,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/tooled-rose-almond/products/leather-large-zip-top-tote-698-tlr-ald,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Flutter Charm,Bold and fiery rose prints,Paisley Muse,Soft watercolor blossoms,Retro Muse,Dark romantic florals,Boho Spirit
Card Case - 1183,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/tooled-rose-black-multi/products/leather-card-case-1183-tlr-bkm,Which wild animal do you relate to most?,Leopard,Crimson Blossom,Lion,Gentle Guardian,Deer,Celestial Wings,Wolf,Wolf Moon
Expandable Shopper Tote - 712,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/tooled-rose-black-multi/products/leather-expandable-shopper-tote-712-tlr-bkm,Your dream vacation spot is:,A tropical island 🏝️,Camellia Grace,Caribbean beaches 🏖️,Tropical Breeze,A quiet ocean cliff 🌊,Celestial Wings,A deep forest retreat 🌿,Mystic Mosaic
Slim Shoulder Hobo - 714,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/tooled-rose-black-multi/products/leather-slim-shoulder-hobo-714-tlr-bkm,What type of adventure excites you most?,A jungle safari 🐆,Caribbean Dreamer,Climbing a mountain 🏔️,Color Mirage,Exploring an enchanted forest 🌲,Enchanted Rose,Leading an expedition 🦁,Metamorph Muse
Triple Compartment Crossbody - 696,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/tooled-rose-black-multi/products/leather-triple-compartment-crossbody-696-tlr-bkm,Which bag style attracts you most?,Sleek and modern,Crimson Blossom,Antique leather satchel,Paisley Muse,Funky retro prints,Roaring Majesty,Edgy futuristic designs,Camellia Grace
Two Fold French Wallet - 1181,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/tooled-rose-black-multi/products/leather-two-fold-french-wallet-1181-tlr-bkm,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Winged Serenity,An elephant with a lotus 🐘,Earth Song,A guardian dog 🐕,Celestial Wings,A mystical owl 🦉,Leopard Luxe
Two Fold Organizer Wallet - 1178,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/tooled-rose-pearl-pink/products/leather-two-fold-organizer-wallet-1178-tlr-plp,What quality do you value most?,Protection and care,Ethereal Bloom,Wisdom and calmness,Flutter Charm,Playfulness and joy,Caribbean Dreamer,Strength with compassion,Wilderness Whisper
Crossbody Phone Case - 1173,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/tooled-rose-pearl-pink/products/leather-crossbody-phone-case-1173-tlr-plp,What color palette do you prefer for accessories?,Aqua blues and sea greens,Angel Aura,Bright island colors,Vintage Charm,Soft sandy tones,Wilderness Whisper,Earthy browns and greens,Savannah Spirit
4 in 1 Organizer Crossbody - 711,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/tooled-rose-pearl-pink/products/leather-4-in-1-organizer-crossbody-711-tlr-plp,Which scenery feels most calming to you?,A blooming spring garden 🌷,Ethereal Bloom,A field of wild roses under sunset 🌹,Earth Song,A misty meadow with dew,Crimson Blossom,A vintage botanical greenhouse 🌼,Crimson Blossom
Zip-Top Shoulder Hobo - 707,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/tooled-rose-pearl-pink/products/leather-zip-top-shoulder-hobo-707-tlr-plp,What color palette do you prefer for accessories?,Aqua blues and sea greens,Crimson Blossom,Bright island colors,Mystic Mosaic,Soft sandy tones,Angel Aura,Earthy browns and greens,Sacred Elephant
Large Zip Top Tote - 698,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/tooled-rose-pearl-pink/products/leather-large-zip-top-tote-698-tlr-plp,Your dream vacation spot is:,A tropical island 🏝️,City Lights,Caribbean beaches 🏖️,Wilderness Whisper,A quiet ocean cliff 🌊,Caribbean Dreamer,A deep forest retreat 🌿,Winged Serenity
Two Fold Organizer Wallet - 1178,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/tooled-rose-pearl-white/products/leather-two-fold-organizer-wallet-1178-tlr-plw,Your dream vacation spot is:,A tropical island 🏝️,Mystic Mosaic,Caribbean beaches 🏖️,Tropical Breeze,A quiet ocean cliff 🌊,Ocean Mist,A deep forest retreat 🌿,Vintage Charm
Crossbody Phone Case - 1173,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/tooled-rose-pearl-white/products/leather-crossbody-phone-case-1173-tlr-plw,Which bag style attracts you most?,Sleek and modern,Celestial Wings,Antique leather satchel,Flutter Charm,Funky retro prints,Ocean Mist,Edgy futuristic designs,Camellia Grace
